Species,Eusocial,Semisocial,Communal,NestAggregation,Solitary,Parasitic,DataLevel,ActualText,Source,Notes
Andrena subtilis,0,0,0,1,1,0,Genus,"Nest aggregations are not uncommon, with as few as 5 to upward of 2000 individuals nesting close together. ",The Bees In Your Backyard ,
Andrena vandykei,0,0,0,1,1,0,Genus,"Nest aggregations are not uncommon, with as few as 5 to upward of 2000 individuals nesting close together. ",The Bees In Your Backyard ,
Calliopsis,0,0,0,1,1,0,Genus,"Some Calliopsis nest in very dense groups, with inexcess of 1500 nests per square yard; however, all of them are solitary, and each female builds and provisions her own nest. ",The Bees In Your Backyard ,
Pseudopanurgus californicus,0,0,0,1,1,0,Genus,All species appear to be solitary. These bess often in fairly dense aggregations. ,The Bees In Your Backyard ,
Panurginus armaticeps,0,0,1,1,1,0,Genus,Panurginus found in the United States nest both individually and communally.,The Bees In Your Backyard ,
Panurginus gracilis,0,0,1,1,1,0,Genus,Panurginus found in the United States nest both individually and communally.,The Bees In Your Backyard ,
Panurginus melanocephalus,0,0,1,1,1,0,Genus,Panurginus found in the United States nest both individually and communally.,The Bees In Your Backyard ,
Perdita layiae,0,0,1,1,1,0,Genus,"The majority of Perdita nest alone; however, a few species nest communally, with up to 30 females using the same tunnel entrance.",The Bees In Your Backyard ,
Anthophora californica,0,0,1,1,1,0,Genus,"They nest often in aggregations of several hundred to a thousand nests. A few psecies are communal, with several females sharing a nest entrance, but with their own individual nest cells. ",The Bees In Your Backyard ,
Anthophora edwardsii,0,0,1,1,1,0,Genus,"They nest often in aggregations of several hundred to a thousand nests. A few psecies are communal, with several females sharing a nest entrance, but with their own individual nest cells. ",The Bees In Your Backyard ,
Anthophora urbana,0,0,1,1,1,0,Genus,"They nest often in aggregations of several hundred to a thousand nests. A few psecies are communal, with several females sharing a nest entrance, but with their own individual nest cells. ",The Bees In Your Backyard ,
Ceratina acantha,0,0,0,0,1,0,Genus,"Ceratina exhibit some sights of sociality. While each female has her own nest, she keeps watch over the eggs she has laid until  they develop into adults.",The Bees In Your Backyard; Forrest.et.al..2015 ,
Ceratina nanula,0,0,0,0,1,0,Genus,"Ceratina exhibit some sights of sociality. While each female has her own nest, she keeps watch over the eggs she has laid until  they develop into adults.",The Bees In Your Backyard; Forrest.et.al..2016,
Diadasia australis,0,0,0,1,1,0,Genus,"While each bee constructs its own nests, many species nest in aggregations, ranging from a few closely spaced nests to thousands of nests in one area. ",The Bees In Your Backyard ,
Diadasia bituberculata,0,0,0,1,1,0,Genus,"While each bee constructs its own nests, many species nest in aggregations, ranging from a few closely spaced nests to thousands of nests in one area. ",The Bees In Your Backyard ,
Diadasia nigrifrons,0,0,0,1,1,0,Genus,"While each bee constructs its own nests, many species nest in aggregations, ranging from a few closely spaced nests to thousands of nests in one area. ",The Bees In Your Backyard ,
Diadasia nitidifrons,0,0,0,1,1,0,Genus,"While each bee constructs its own nests, many species nest in aggregations, ranging from a few closely spaced nests to thousands of nests in one area. ",The Bees In Your Backyard ,
Diadasia ochracea,0,0,0,1,1,0,Genus,"While each bee constructs its own nests, many species nest in aggregations, ranging from a few closely spaced nests to thousands of nests in one area. ",The Bees In Your Backyard ,
Diadasia rinconis,0,0,0,1,1,0,Genus,"While each bee constructs its own nests, many species nest in aggregations, ranging from a few closely spaced nests to thousands of nests in one area. ",The Bees In Your Backyard ,
Epeolus minimus,0,0,0,0,0,1,Genus,cuckoo,The Bees In Your Backyard ,
Eucera actuosa,0,0,1,1,1,0,Genus,"Like other Eucerini, they nest in the ground and are solitary, though a few species appear to nest communally. Even in those cases, each female provides fro her own young.",The Bees In Your Backyard ,
Eucera amsinckiae,0,0,1,1,1,0,Genus,"Like other Eucerini, they nest in the ground and are solitary, though a few species appear to nest communally. Even in those cases, each female provides fro her own young.",The Bees In Your Backyard ,
Eucera edwardsii,0,0,1,1,1,0,Genus,"Like other Eucerini, they nest in the ground and are solitary, though a few species appear to nest communally. Even in those cases, each female provides fro her own young.",The Bees In Your Backyard ,
Eucera frater,0,0,1,1,1,0,Genus,"Like other Eucerini, they nest in the ground and are solitary, though a few species appear to nest communally. Even in those cases, each female provides fro her own young.",The Bees In Your Backyard ,
Eucera lunata,0,0,1,1,1,0,Genus,"Like other Eucerini, they nest in the ground and are solitary, though a few species appear to nest communally. Even in those cases, each female provides fro her own young.",The Bees In Your Backyard ,
Anthophorula cerei,0,0,1,1,1,0,Genus,"Though they are solitary, they do frequently nest communally, with several females sharing the same nest entrance.",The Bees In Your Backyard ,
Habropoda depressa,0,0,0,1,1,0,Genus,"They nest in ground, often in aggregations of several hundred individuals. ",The Bees In Your Backyard ,
Habropoda miserabilis,0,0,0,1,1,0,Genus,"They nest in ground, often in aggregations of several hundred individuals. ",The Bees In Your Backyard ,
Melecta separata,0,0,0,0,0,1,Genus,cuckoo,The Bees In Your Backyard ,
Melissodes lupinus,0,0,1,1,1,0,Genus,"Melissodes are all solitary ground nesters, and there is no sharing of the duties associated with laying eggs or providing for them. Some speices may be oppoutunistically communal.",The Bees In Your Backyard ,
Melissodes lustrus,0,0,1,1,1,0,Genus,"Melissodes are all solitary ground nesters, and there is no sharing of the duties associated with laying eggs or providing for them. Some speices may be oppoutunistically communal.",The Bees In Your Backyard ,
Melissodes stearnsi,0,0,1,1,1,0,Genus,"Melissodes are all solitary ground nesters, and there is no sharing of the duties associated with laying eggs or providing for them. Some speices may be oppoutunistically communal.",The Bees In Your Backyard ,
Melissodes tepidus,0,0,1,1,1,0,Genus,"Melissodes are all solitary ground nesters, and there is no sharing of the duties associated with laying eggs or providing for them. Some speices may be oppoutunistically communal.",The Bees In Your Backyard ,
Nomada edwardsii,0,0,0,0,0,1,Genus,cuckoo,The Bees In Your Backyard ,
Nomada formula,0,0,0,0,0,1,Genus,cuckoo,The Bees In Your Backyard ,
Nomada hesperia,0,0,0,0,0,1,Genus,cuckoo,The Bees In Your Backyard ,
Nomada semisuavis,0,0,0,0,0,1,Genus,cuckoo,The Bees In Your Backyard ,
Nomada suavis,0,0,0,0,0,1,Genus,cuckoo,The Bees In Your Backyard ,
Triepeolus utahensis,0,0,0,0,0,1,Genus,cuckoo,The Bees In Your Backyard ,
Brachymelecta californica,0,0,0,0,0,1,Genus,cuckoo,The Bees In Your Backyard ,
Colletes hyalinus,0,0,0,1,1,0,Genus,"Overtime giant nesting aggregations may from, sheltering up to several thousand bees. ",The Bees In Your Backyard ,
Colletes kincaidii,0,0,0,1,1,0,Genus,"Overtime giant nesting aggregations may from, sheltering up to several thousand bees. ",The Bees In Your Backyard ,
Colletes slevini,0,0,0,1,1,0,Genus,"Overtime giant nesting aggregations may from, sheltering up to several thousand bees. ",The Bees In Your Backyard ,
Hylaeus mesillae,0,0,0,1,1,0,Family,"All Colletidae in the United States are solitary nesters, and there is no evidence of sociality. However, some species nest in large groups, called aggregations.",The Bees In Your Backyard ,No direct info about Genus
Hylaeus polifolii,0,0,0,1,1,0,Family,"All Colletidae in the United States are solitary nesters, and there is no evidence of sociality. However, some species nest in large groups, called aggregations.",The Bees In Your Backyard ,No direct info about Genus
Hylaeus rudbeckiae,0,0,0,1,1,0,Family,"All Colletidae in the United States are solitary nesters, and there is no evidence of sociality. However, some species nest in large groups, called aggregations.",The Bees In Your Backyard ,No direct info about Genus
Agapostemon texanus,0,0,1,1,1,0,Genus,"While the majority of Agapostemon do not nest in aggregations,  there are species that nest communally, with as few as 2 or up to 20 females sharing the same nest entrance in ther ground. ",The Bees In Your Backyard ,
Sphecodes,0,0,0,1,1,0,Genus,"Many bees in the family Halictidae exhibit some form of sociality, where bees cooperate to build and otherwise prepare nest cells for their offspring.",The Bees In Your Backyard ,
Anthidium collectum,0,0,0,0,1,0,Genus,All Anthidium species are solitary and do not share the resiponsibilities of building a nest or providing for offspring. ,The Bees In Your Backyard ,
Anthidium illustre,0,0,0,0,1,0,Genus,All Anthidium species are solitary and do not share the resiponsibilities  of building a nest or providing for offspring. ,The Bees In Your Backyard ,
Anthidium maculosum,0,0,0,0,1,0,Genus,All Anthidium species are solitary and do not share the resiponsibilities  of building a nest or providing for offspring. ,The Bees In Your Backyard ,
Ashmeadiella cactorum,0,0,0,0,1,0,Genus,Ashmeadiella are solitary bees. ,The Bees In Your Backyard ,
Ashmeadiella chumashae,0,0,0,0,1,0,Genus,Ashmeadiella are solitary bees. ,The Bees In Your Backyard ,
Ashmeadiella cubiceps,0,0,0,0,1,0,Genus,Ashmeadiella are solitary bees. ,The Bees In Your Backyard ,
Ashmeadiella opuntiae,0,0,0,0,1,0,Genus,Ashmeadiella are solitary bees. ,The Bees In Your Backyard ,
Ashmeadiella timberlakei,0,0,0,0,1,0,Genus,Ashmeadiella are solitary bees. ,The Bees In Your Backyard ,
Ashmeadiella xenomastax,0,0,0,0,1,0,Genus,Ashmeadiella are solitary bees. ,The Bees In Your Backyard ,
Atoposmia copelandica,0,0,0,0,1,0,Genus,"These bees are all solitary, and there appears to be no social nesting. ",The Bees In Your Backyard ,
Coelioxys octodentatus,0,0,0,0,0,1,Genus,cuckoo,The Bees In Your Backyard ,
Dioxys productus,0,0,0,0,0,1,Genus,cuckoo,The Bees In Your Backyard ,
Megachile angelarum,0,0,0,0,1,0,Genus,Meganchile are not social--each female builds and provisions her own nest. ,The Bees In Your Backyard ,
Megachile apicalis,0,0,0,0,1,0,Genus,Meganchile are not social--each female builds and provisions her own nest. ,The Bees In Your Backyard ,
Megachile brevis,0,0,0,0,1,0,Genus,Meganchile are not social--each female builds and provisions her own nest. ,The Bees In Your Backyard ,
Megachile coquilletti,0,0,0,0,1,0,Genus,Meganchile are not social--each female builds and provisions her own nest. ,The Bees In Your Backyard ,
Megachile fidelis,0,0,0,0,1,0,Genus,Meganchile are not social--each female builds and provisions her own nest. ,The Bees In Your Backyard ,
Megachile montivaga,0,0,0,0,1,0,Genus,Meganchile are not social--each female builds and provisions her own nest. ,The Bees In Your Backyard ,
Megachile onobrychidis,0,0,0,0,1,0,Genus,Meganchile are not social--each female builds and provisions her own nest. ,The Bees In Your Backyard ,
Megachile rotundata,0,0,0,0,1,0,Genus,Meganchile are not social--each female builds and provisions her own nest. ,The Bees In Your Backyard ,
Osmia albolateralis,0,0,0,0,1,0,Genus,"Like the majority of North American bees, Osmia are completely solitary and do not share the task of gathering pollen or nectar for each other's offspring. ",The Bees In Your Backyard ,
Osmia austromaritima,0,0,0,0,1,0,Genus,"Like the majority of North American bees, Osmia are completely solitary and do not share the task of gathering pollen or nectar for each other's offspring. ",The Bees In Your Backyard ,
Osmia bruneri,0,0,0,0,1,0,Genus,"Like the majority of North American bees, Osmia are completely solitary and do not share the task of gathering pollen or nectar for each other's offspring. ",The Bees In Your Backyard ,
Osmia californica,0,0,0,0,1,0,Genus,"Like the majority of North American bees, Osmia are completely solitary and do not share the task of gathering pollen or nectar for each other's offspring. ",The Bees In Your Backyard ,
Osmia calla,0,0,0,0,1,0,Genus,"Like the majority of North American bees, Osmia are completely solitary and do not share the task of gathering pollen or nectar for each other's offspring. ",The Bees In Your Backyard ,
Osmia clarescens,0,0,0,0,1,0,Genus,"Like the majority of North American bees, Osmia are completely solitary and do not share the task of gathering pollen or nectar for each other's offspring. ",The Bees In Your Backyard ,
Osmia coloradensis,0,0,0,0,1,0,Genus,"Like the majority of North American bees, Osmia are completely solitary and do not share the task of gathering pollen or nectar for each other's offspring. ",The Bees In Your Backyard ,
Osmia gabrielis,0,0,0,0,1,0,Genus,"Like the majority of North American bees, Osmia are completely solitary and do not share the task of gathering pollen or nectar for each other's offspring. ",The Bees In Your Backyard ,
Osmia gaudiosa,0,0,0,0,1,0,Genus,"Like the majority of North American bees, Osmia are completely solitary and do not share the task of gathering pollen or nectar for each other's offspring. ",The Bees In Your Backyard ,
Osmia kincaidii,0,0,0,0,1,0,Genus,"Like the majority of North American bees, Osmia are completely solitary and do not share the task of gathering pollen or nectar for each other's offspring. ",The Bees In Your Backyard ,
Osmia laeta,0,0,0,0,1,0,Genus,"Like the majority of North American bees, Osmia are completely solitary and do not share the task of gathering pollen or nectar for each other's offspring. ",The Bees In Your Backyard ,
Osmia nemoris,0,0,0,0,1,0,Genus,"Like the majority of North American bees, Osmia are completely solitary and do not share the task of gathering pollen or nectar for each other's offspring. ",The Bees In Your Backyard ,
Osmia tristella,0,0,0,0,1,0,Genus,"Like the majority of North American bees, Osmia are completely solitary and do not share the task of gathering pollen or nectar for each other's offspring. ",The Bees In Your Backyard ,
Protosmia rubifloris,0,0,0,0,1,0,Genus,Protosmia are solitary and known to nest in preexisting natural cavities,http://idtools.org/id/bees/exotic/factsheet.php?name=16596,No direct text in The bees in your backyard
Stelis,0,0,0,0,0,1,Genus,cuckoo,The Bees In Your Backyard ,
Apis mellifera,1,0,0,0,0,0,Genus,"Eusocial, meaning they live in a colony that participates in cooperative care of the yound and there is a division of labor with reproductive and nonreproductive groups.",The Bees In Your Backyard ,
Bombus californicus,1,0,0,0,0,0,Genus,Bumble bees are eusocial (meaning they are truly social),The Bees In Your Backyard ,
Bombus crotchii,1,0,0,0,0,0,Genus,Bumble bees are eusocial (meaning they are truly social),The Bees In Your Backyard ,
Bombus melanopygus,1,0,0,0,0,0,Genus,Bumble bees are eusocial (meaning they are truly social),The Bees In Your Backyard ,
Bombus occidentalis,1,0,0,0,0,0,Genus,Bumble bees are eusocial (meaning they are truly social),The Bees In Your Backyard ,
Bombus vosnesenskii,1,0,0,0,0,0,Genus,Bumble bees are eusocial (meaning they are truly social),The Bees In Your Backyard ,
Augochlorella pomoniella,1,1,0,0,0,0,Genus,These bees are all primitively eusocial ground nesters. Many colonies may aggregate to nest in the same area. ,The Bees In Your Backyard ,
Halictus farinosus,1,1,0,1,0,0,Genus,"1. Eusocial life cycle 2. a female establishes a eusocial nest or a solitary nest appears to depend to some extent on the environment (ex. floral resources, temperature)",Meiners.et.al..2020; Forrest.et.al..2015,https://jhr.pensoft.net/article/1633/
Halictus harmonius,1,1,0,0,0,0,Genus,"1. Eusocial life cycle 2. a female establishes a eusocial nest or a solitary nest appears to depend to some extent on the environment (ex. floral resources, temperature)",The Bees In Your Backyard ,
Halictus ligatus,1,1,0,0,0,0,Species,Can be both social and solitary deepending on environmental conditions.,Meiners.et.al..2020,
Halictus rubicundus,1,1,0,0,0,0,Species,Eusocial in warm climates,"Saucy, 2002",
Halictus tripartitus,1,1,0,0,0,0,Genus,"1. Eusocial life cycle 2. a female establishes a eusocial nest or a solitary nest appears to depend to some extent on the environment (ex. floral resources, temperature)",Meiners.et.al..2020; Forrest.et.al..2015,
Lasioglossum albohirtum,0,0,0,0,1,0,Genus,"Lasioglossum includes solitary, communal, semisocial, primitively eusocial, and even parasitic species.",The Bees In Your Backyard; Brady et. al 2006,
Lasioglossum argemonis,0,0,0,0,1,0,Genus,"Lasioglossum includes solitary, communal, semisocial, primitively eusocial, and even parasitic species.",The Bees In Your Backyard; Brady et. al 2007,
Lasioglossum avalonense,0,0,0,0,1,0,Genus,"Lasioglossum includes solitary, communal, semisocial, primitively eusocial, and even parasitic species.",The Bees In Your Backyard; Brady et. al 2008,
Lasioglossum brunneiventre,0,0,0,0,1,0,Genus,"Lasioglossum includes solitary, communal, semisocial, primitively eusocial, and even parasitic species.",The Bees In Your Backyard; Brady et. al 2009,
Lasioglossum cabrilli,0,0,0,0,1,0,Genus,"Lasioglossum includes solitary, communal, semisocial, primitively eusocial, and even parasitic species.",The Bees In Your Backyard; Brady et. al 2010,
Lasioglossum californiae,0,0,0,0,1,0,Genus,"Lasioglossum includes solitary, communal, semisocial, primitively eusocial, and even parasitic species.",The Bees In Your Backyard; Brady et. al 2011,
Lasioglossum channelense,0,0,0,0,1,0,Genus,"Lasioglossum includes solitary, communal, semisocial, primitively eusocial, and even parasitic species.",The Bees In Your Backyard; Brady et. al 2012,
Lasioglossum diversopunctatum,0,0,0,0,1,0,Genus,"Lasioglossum includes solitary, communal, semisocial, primitively eusocial, and even parasitic species.",The Bees In Your Backyard; Brady et. al 2013,
Lasioglossum hammondi,0,0,0,0,1,0,Genus,"Lasioglossum includes solitary, communal, semisocial, primitively eusocial, and even parasitic species.",The Bees In Your Backyard; Brady et. al 2014,
Lasioglossum hyalinum,1,1,0,0,0,0,Species,,Meiners.et.al..2020,
Lasioglossum incompletum,1,1,0,0,0,0,Species,,Forrest.et.al..2015,
Lasioglossum kincaidii,1,1,0,0,0,0,Genus,"Lasioglossum (Hemihalictus) have larger precent that are social, presumed social","Brady et. Al, 2014",
Lasioglossum mellipes,0,0,0,0,1,0,Species,,Forrest.et.al..2015,
Lasioglossum microlepoides,0,0,0,0,1,0,Genus,"Lasioglossum includes solitary, communal, semisocial, primitively eusocial, and even parasitic species.",The Bees In Your Backyard; Brady et. al 2014,
Lasioglossum miguelense,0,0,0,0,1,0,Genus,"Lasioglossum includes solitary, communal, semisocial, primitively eusocial, and even parasitic species.",The Bees In Your Backyard; Brady et. al 2015,
Lasioglossum nevadense,0,0,0,0,1,0,Genus,"Lasioglossum includes solitary, communal, semisocial, primitively eusocial, and even parasitic species.",The Bees In Your Backyard; Brady et. al 2016,
Lasioglossum nigrescens,0,0,0,0,1,0,Genus,"Lasioglossum includes solitary, communal, semisocial, primitively eusocial, and even parasitic species.",The Bees In Your Backyard; Brady et. al 2017,
Lasioglossum ovaliceps,0,0,0,0,1,0,Genus,"Lasioglossum includes solitary, communal, semisocial, primitively eusocial, and even parasitic species.",The Bees In Your Backyard; Brady et. al 2018,
Lasioglossum perichlarus,0,0,0,0,1,0,Genus,"Lasioglossum includes solitary, communal, semisocial, primitively eusocial, and even parasitic species.",The Bees In Your Backyard; Brady et. al 2019,
Lasioglossum punctatoventre,0,0,0,0,1,0,Genus,"Lasioglossum includes solitary, communal, semisocial, primitively eusocial, and even parasitic species.",The Bees In Your Backyard; Brady et. al 2020,
Lasioglossum tegulare,0,0,0,0,1,0,Species,,Normandin.et.al.2017,
Lasioglossum titusi,0,0,0,0,1,0,Species,,Forrest.et.al..2015,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
additional references,,,,,,,,,,
"Brady, S. G.,ÊSipes, S.,ÊPearson, A., &ÊDanforth, B.Ê(2006).ÊRecent and simultaneous origins of eusociality in halictid bees.ÊProceedings of the Royal Society B: Biological Sciences,Ê273,Ê1643Ð1649.Êhttps://doi.org/10.1098/rspb.2006.3496",,,,,,,,,,
"Forrest, J. R. K.,ÊThorp, R. W.,ÊKremen, C., &ÊWilliams, N. M.Ê(2015).ÊContrasting patterns in species and functional-trait diversity of bees in an agricultural landscape.ÊJournal of Applied Ecology,Ê52,Ê706Ð715.Êhttps://doi.org/10.1111/1365-2664.12433",,,,,,,,,,
"Meiners, J. M.,ÊOrr, M. C.,ÊKristina, R.,ÊTerry, G., &ÊSimonis, J. L.Ê(2020).ÊThe influence of data type and functional traits on native bee phenology metrics: Opportunistic versus inventory records (preprint).ÊEcology.Êhttps://doi.org/10.1101/2020.04.16.044750",,,,,,,,,,
"Normandin, ƒtienne, et al. ""Taxonomic and functional trait diversity of wild bees in different urban settings.""ÊPeerJÊ5 (2017): e3051.",,,,,,,,,,
"Soucy, Sheryl. (2009). Nesting Biology and Socially Polymorphic Behavior of the Sweat Bee Halictus rubicundus (Hymenoptera: Halictidae). Annals of the Entomological Society of America. 95. 57-65. 10.1603/0013-8746(2002)095[0057:NBASPB]2.0.CO;2. ",,,,,,,,,,
